,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtQual,KitchenQual,ExterQual
0,7,1710,2,548,856,856,2,8,2003,2003,2003.0,196.0,0,0,2,2,2
1,6,1262,2,460,1262,1262,2,6,1976,1976,1976.0,0.0,1,0,2,3,3
2,7,1786,2,608,920,920,2,6,2001,2002,2001.0,162.0,1,0,2,2,2
3,7,1717,3,642,756,961,1,7,1915,1970,1998.0,0.0,1,2,3,2,3
4,8,2198,3,836,1145,1145,2,9,2000,2000,2000.0,350.0,1,0,2,2,2
5,5,1362,2,480,796,796,1,5,1993,1995,1993.0,0.0,0,0,2,3,3
6,8,1694,2,636,1686,1694,2,7,2004,2005,2004.0,186.0,1,0,0,2,2
7,7,2090,2,484,1107,1107,2,7,1973,1973,1973.0,240.0,2,0,2,3,3
8,7,1774,2,468,952,1022,2,8,1931,1950,1931.0,0.0,2,2,3,3,3
9,5,1077,1,205,991,1077,1,5,1939,1950,1939.0,0.0,2,0,3,3,3
10,5,1040,1,384,1040,1040,1,5,1965,1965,1965.0,0.0,0,0,3,3,3
11,9,2324,3,736,1175,1182,3,11,2005,2006,2005.0,286.0,2,0,0,0,0
12,5,912,1,352,912,912,1,4,1962,1962,1962.0,0.0,0,4,3,3,3
13,7,1494,3,840,1494,1494,2,7,2006,2007,2006.0,306.0,1,0,2,2,2
14,6,1253,1,352,1253,1253,1,5,1960,1960,1960.0,212.0,1,4,3,3,3
15,7,854,2,576,832,854,1,5,1929,2001,1991.0,0.0,0,0,3,3,3
16,6,1004,2,480,1004,1004,1,5,1970,1970,1970.0,180.0,1,0,3,3,3
17,4,1296,2,516,0,1296,2,6,1967,1967,1967.0,0.0,0,4,-1,3,3
18,5,1114,2,576,1114,1114,1,6,2004,2004,2004.0,0.0,0,0,3,2,3
19,5,1339,1,294,1029,1339,1,6,1958,1965,1958.0,0.0,0,4,3,3,3
20,8,2376,3,853,1158,1158,3,9,2005,2006,2005.0,380.0,1,0,0,2,2
21,7,1108,1,280,637,1108,1,6,1930,1950,1930.0,0.0,1,0,3,2,3
22,8,1795,2,534,1777,1795,2,7,2002,2002,2002.0,281.0,1,0,2,2,2
23,5,1060,2,572,1040,1060,1,6,1976,1976,1976.0,0.0,1,4,2,3,3
24,5,1060,1,270,1060,1060,1,6,1968,2001,1968.0,0.0,1,0,3,2,3
25,8,1600,3,890,1566,1600,2,7,2007,2007,2007.0,640.0,1,0,2,2,2
26,5,900,2,576,900,900,1,5,1951,2000,2005.0,0.0,0,4,3,2,3
27,8,1704,3,772,1704,1704,2,7,2007,2008,2008.0,200.0,1,0,0,2,2
28,5,1600,1,319,1484,1600,1,6,1957,1997,1957.0,0.0,2,4,3,3,3
29,4,520,1,240,520,520,1,4,1927,1950,1920.0,0.0,0,1,3,1,3
30,4,1317,1,250,649,649,1,6,1920,1950,1920.0,0.0,0,4,3,3,3
31,5,1228,1,271,1228,1228,1,6,1966,2006,1966.0,0.0,0,2,3,2,3
32,8,1234,2,484,1234,1234,2,7,2007,2007,2007.0,0.0,0,0,0,2,2
33,5,1700,2,447,1398,1700,1,6,1959,1959,1959.0,0.0,1,2,3,2,3
34,9,1561,2,556,1561,1561,2,6,2005,2005,2005.0,246.0,1,0,0,0,0
35,8,2452,3,691,1117,1132,3,9,2004,2005,2004.0,132.0,1,0,0,2,2
36,5,1097,2,672,1097,1097,1,6,1994,1995,1995.0,0.0,0,0,2,3,3
37,5,1297,2,498,1297,1297,1,5,1954,1990,1954.0,650.0,1,2,3,3,3
38,5,1057,1,246,1057,1057,1,5,1953,2007,1953.0,0.0,0,4,3,2,3
39,4,1152,0,0,0,1152,2,6,1955,1955,,0.0,0,4,-1,1,3
40,6,1324,2,440,1088,1324,2,6,1965,1965,1965.0,101.0,1,0,3,3,3
41,5,1328,1,308,1350,1328,1,5,1959,1959,1959.0,0.0,2,2,3,3,3
42,5,884,2,504,840,884,1,5,1983,1983,1983.0,0.0,0,2,2,2,3
43,5,938,1,308,938,938,1,5,1975,1980,1977.0,0.0,0,4,2,3,3
44,5,1150,1,300,1150,1150,1,6,1959,1959,1959.0,0.0,0,0,3,3,3
45,9,1752,2,576,1752,1752,2,6,2005,2005,2005.0,412.0,1,0,0,0,0
46,7,2149,2,670,1434,1518,1,6,2003,2003,2003.0,0.0,1,0,0,2,2
47,8,1656,3,826,1656,1656,2,7,2006,2006,2006.0,0.0,0,0,2,2,2
48,4,1452,0,0,736,736,2,8,1920,2008,,0.0,0,2,3,3,3
49,5,955,1,386,955,955,1,6,1966,1966,1966.0,0.0,0,0,3,3,3
50,6,1470,2,388,794,794,2,6,1997,1997,1997.0,0.0,0,2,2,3,3
51,6,1176,2,528,816,816,1,6,1934,1950,1985.0,0.0,1,4,3,3,3
52,5,816,2,516,816,816,1,5,1963,1963,1963.0,0.0,0,4,2,3,1
53,9,1842,3,894,1842,1842,0,5,1981,1987,1981.0,0.0,1,2,0,2,2
54,5,1360,2,572,384,1360,1,6,1955,1955,1962.0,0.0,1,4,3,3,3
55,6,1425,2,576,1425,1425,2,7,1964,1964,1964.0,272.0,1,2,3,3,3
56,8,1739,2,480,970,983,2,7,1999,2000,1999.0,456.0,0,0,2,2,2
57,7,1720,2,565,860,860,2,7,2004,2004,2004.0,0.0,0,0,2,2,2
58,10,2945,3,641,1410,1426,3,10,2006,2006,2006.0,1031.0,1,0,0,2,0
59,5,780,1,352,780,780,1,4,1972,1972,1973.0,0.0,0,0,3,3,3
60,6,1158,2,576,1158,1158,1,5,2004,2004,2006.0,0.0,0,0,2,2,3
61,5,1111,1,288,530,581,1,6,1920,1996,1935.0,0.0,0,4,3,1,3
62,8,1370,2,484,1370,1370,2,6,2006,2006,2006.0,178.0,1,0,2,2,2
63,7,1710,2,480,576,902,2,9,1921,1950,1990.0,0.0,0,2,3,3,3
64,7,2034,2,645,1057,1057,2,8,1997,1998,1998.0,573.0,0,0,2,2,3
65,8,2473,3,852,1143,1143,2,9,2004,2005,2004.0,344.0,1,0,0,2,2
66,7,2207,2,576,1947,2207,2,7,1970,1989,1970.0,287.0,1,4,2,3,3
67,7,1479,2,558,1453,1479,2,7,2003,2003,2003.0,167.0,0,0,2,2,2
68,4,747,1,220,747,747,1,4,1945,1950,1945.0,0.0,0,4,3,3,3
69,7,2287,2,667,1304,1304,2,7,1953,1953,1953.0,0.0,1,4,3,3,2
70,7,2223,2,516,2223,2223,2,8,1973,1973,1973.0,1115.0,2,0,2,3,3
71,4,845,2,360,845,845,1,4,1982,2006,1987.0,0.0,0,4,3,3,3
72,7,1718,2,427,832,885,2,7,1998,1998,1998.0,40.0,1,2,2,3,3
73,5,1086,2,490,1086,1086,1,6,1954,2003,1989.0,104.0,0,2,3,3,3
74,3,1605,1,379,840,840,2,8,1915,1950,1915.0,0.0,0,2,1,3,2
75,4,988,1,297,462,526,1,5,1973,1973,1973.0,0.0,0,4,2,3,3
76,4,952,1,283,952,952,1,4,1956,1956,1956.0,0.0,0,0,3,3,3
77,5,1285,1,240,672,1072,1,6,1948,2001,1948.0,0.0,0,4,3,3,3
78,4,1768,0,0,1768,1768,2,8,1968,1968,,0.0,0,4,3,3,3
79,5,1230,2,440,440,682,1,5,1910,1981,1966.0,0.0,0,2,3,3,3
80,6,2142,1,509,896,1182,2,8,1968,1968,1968.0,576.0,1,4,2,2,3
81,6,1337,2,405,1237,1337,2,5,1998,1998,1998.0,443.0,0,0,0,3,3
82,8,1563,3,758,1563,1563,2,6,2007,2007,2007.0,468.0,1,0,2,2,3
83,5,1065,2,461,1065,1065,1,6,1960,1960,1974.0,66.0,0,2,3,3,3
84,7,1474,2,400,384,804,2,7,1995,1996,1995.0,22.0,1,2,2,3,3
85,8,2417,2,462,1288,1301,2,9,1991,1992,1991.0,284.0,1,0,2,2,2
86,6,1560,2,400,684,684,2,6,2005,2005,2005.0,0.0,1,0,2,2,2
87,6,1224,2,528,612,612,2,4,2009,2009,2009.0,76.0,0,0,2,2,2
88,3,1526,0,0,1013,1013,1,6,1915,1982,,0.0,0,4,3,1,1
89,4,990,0,0,990,990,1,5,1994,1995,,0.0,0,0,2,3,3
90,4,1040,2,420,0,1040,1,4,1950,1950,1950.0,0.0,0,4,-1,3,3
91,5,1235,2,480,1235,1235,1,6,1961,1961,1961.0,203.0,0,4,3,3,3
92,5,964,2,432,876,964,1,5,1921,2006,1921.0,0.0,0,0,2,3,3
93,6,2291,2,506,1214,1260,2,9,1910,1998,1900.0,0.0,1,0,3,3,3
94,6,1786,2,684,824,905,2,7,1997,1997,1997.0,0.0,0,0,2,2,3
95,6,1470,2,420,680,680,2,6,1993,1993,1993.0,68.0,1,2,2,3,0
96,7,1588,2,472,1588,1588,2,6,1999,1999,1999.0,183.0,0,0,2,2,2
97,4,960,1,432,960,960,1,6,1965,1965,1965.0,48.0,0,4,3,3,3
98,5,835,1,366,458,835,1,5,1920,1950,1920.0,0.0,0,1,3,3,3
99,4,1225,0,0,950,1225,1,6,1959,1959,,0.0,0,1,3,3,3
100,6,1610,2,480,1610,1610,2,6,1977,2001,1977.0,28.0,2,2,3,2,3
101,6,1732,2,476,741,977,2,7,1985,1985,1985.0,336.0,1,4,2,2,2
102,5,1535,2,410,0,1535,2,8,1979,1979,1979.0,0.0,0,4,-1,3,3
103,7,1226,3,740,1226,1226,2,6,2009,2009,2009.0,0.0,0,0,2,2,3
104,7,1818,1,240,1040,1226,1,7,1931,1950,1951.0,600.0,2,0,3,3,3
105,8,1992,2,648,1053,1053,2,9,2003,2004,2003.0,768.0,1,0,0,2,2
106,4,1047,1,273,641,1047,1,6,1885,1995,1954.0,0.0,0,2,1,3,3
107,5,789,1,250,789,789,1,5,1948,1950,1948.0,0.0,0,0,3,3,3
108,5,1517,0,0,793,997,2,7,1919,2005,,0.0,0,4,3,1,3
109,6,1844,2,546,1844,1844,2,7,1977,1977,1977.0,480.0,1,0,2,3,3
110,6,1855,1,325,994,1216,2,7,1954,1972,1954.0,0.0,0,2,3,3,3
111,7,1430,2,400,384,774,2,7,2000,2000,2000.0,0.0,1,0,2,3,3
112,7,2696,3,792,1264,1282,2,10,2007,2007,2007.0,220.0,1,0,0,0,2
113,6,2259,2,450,1809,2259,2,7,1953,1953,1953.0,184.0,2,4,2,2,3
114,6,2320,1,180,1028,1436,2,9,1945,2002,1945.0,0.0,1,0,3,2,3
115,6,1458,2,440,729,729,2,5,1999,1999,1999.0,1129.0,1,2,2,3,3
116,5,1092,1,288,1092,1092,1,6,1962,1962,1962.0,116.0,1,4,3,3,3
117,5,1125,2,430,1125,1125,1,5,2006,2007,2007.0,0.0,0,2,2,3,3
118,7,3222,3,594,1673,1699,3,11,1990,1990,1990.0,0.0,2,2,2,2,3
119,6,1456,2,390,728,728,2,8,2005,2006,2005.0,0.0,1,0,2,2,2
120,6,988,2,540,938,988,1,4,1969,1969,1969.0,0.0,2,0,3,3,3
121,4,1123,1,264,732,772,1,4,1939,1950,1979.0,0.0,0,2,3,3,3
122,6,1080,1,288,1080,1080,1,5,1958,1958,1958.0,135.0,0,2,3,3,3
123,6,1199,2,530,1199,1199,2,5,1993,1993,1993.0,0.0,0,0,2,2,2
124,6,1586,2,435,1362,1586,2,7,1979,1998,1979.0,0.0,1,4,2,3,3
125,6,754,0,0,520,520,1,5,1935,1982,,0.0,0,2,3,3,3
126,6,958,2,440,1078,958,2,5,1976,1976,1977.0,0.0,1,4,2,3,3
127,5,840,0,0,672,840,1,5,1930,1950,,0.0,1,0,3,3,3
128,6,1348,2,453,660,660,1,6,1966,1966,1966.0,266.0,1,4,3,3,3
129,5,1053,2,750,1008,1053,1,6,1958,1991,1998.0,85.0,0,4,3,0,3
130,7,2157,2,487,924,1216,2,8,1966,1966,1966.0,309.0,2,0,3,2,3
131,6,2054,2,390,992,1022,2,7,2000,2000,2000.0,40.0,1,0,2,2,2
132,5,1327,2,624,1063,1327,1,7,1959,2002,1974.0,0.0,0,2,3,2,3
133,8,1296,2,471,1267,1296,2,6,2001,2002,2001.0,136.0,0,0,0,2,2
134,5,1721,2,440,1461,1721,2,7,1968,1993,1968.0,0.0,1,2,3,3,3
135,7,1682,2,530,1304,1682,2,7,1970,1970,1970.0,288.0,1,2,3,3,3
136,5,1214,1,318,1214,1214,2,5,1967,1967,1967.0,196.0,1,4,3,3,3
137,7,1959,3,766,1907,1959,3,9,1988,1989,1989.0,70.0,0,2,3,3,3
138,8,1852,3,660,1004,1004,2,7,1999,2000,1999.0,320.0,2,0,2,2,2
139,6,1764,2,470,928,928,2,7,1997,1997,1997.0,0.0,0,0,2,2,3
140,4,864,0,0,864,864,1,5,1971,1971,,0.0,1,4,3,3,3
141,7,1734,2,660,1734,1734,2,7,2005,2005,2005.0,0.0,0,0,2,2,2
142,5,1385,2,720,910,910,2,6,1952,1952,2000.0,0.0,0,1,3,3,3
143,7,1501,2,577,1490,1501,2,6,1999,1999,1999.0,183.0,0,0,2,2,2
144,5,1728,2,504,1728,1728,2,10,1963,1963,1963.0,336.0,0,4,3,3,3
145,6,1709,2,380,970,970,2,7,2004,2006,2004.0,50.0,0,0,2,2,2
146,5,875,1,180,715,875,1,5,1931,1993,1931.0,0.0,0,4,3,3,3
147,7,2035,2,434,884,884,2,8,2001,2001,2001.0,180.0,1,0,2,2,2
148,7,1080,0,0,1080,1080,1,6,2004,2005,,120.0,0,0,2,2,3
149,5,1344,1,240,896,896,1,7,1936,1950,1936.0,0.0,0,2,2,3,3
150,5,969,2,440,969,969,1,5,1975,1975,1975.0,0.0,0,4,3,3,3
151,8,1710,3,866,1710,1710,2,6,2007,2008,2007.0,436.0,1,0,0,2,2
152,6,1993,2,495,825,1097,2,8,1971,1971,1971.0,252.0,1,2,3,3,3
153,6,1252,2,564,1602,1252,1,4,1960,1975,1960.0,0.0,1,2,2,3,3
154,6,1200,1,312,1200,1200,1,7,1923,1950,1923.0,0.0,0,4,3,3,3
155,6,1096,0,0,572,572,1,5,1924,1950,,0.0,0,1,3,3,3
156,5,1040,2,625,0,1040,1,5,1950,1950,1950.0,0.0,0,4,-1,3,3
157,8,1968,3,680,774,774,2,8,2009,2010,2009.0,84.0,1,0,0,0,2
158,7,1947,2,678,991,991,2,8,2004,2005,2004.0,0.0,1,0,2,2,2
159,7,2462,2,576,1392,1392,2,9,2005,2006,2006.0,456.0,1,0,2,2,2
160,6,1232,2,516,1232,1232,2,6,1984,1984,1984.0,0.0,0,4,2,3,3
161,9,2668,3,726,1572,1572,2,10,2003,2004,2003.0,664.0,2,0,0,0,2
162,7,1541,2,532,1541,1541,2,7,2005,2005,2005.0,226.0,1,0,2,2,2
163,4,882,0,0,882,882,1,4,1956,1956,,0.0,0,0,3,3,3
164,6,1616,1,216,1149,1149,2,5,1926,2004,1926.0,0.0,0,2,3,2,3
165,5,1355,0,0,644,808,2,6,1940,1999,,0.0,0,2,3,3,3
166,5,1867,1,303,1617,1867,1,7,1955,1993,1955.0,0.0,3,0,3,3,2
167,8,2161,3,789,1582,1610,1,8,2007,2007,2007.0,300.0,1,0,0,0,2
168,7,1720,2,440,840,840,2,7,2004,2004,2004.0,0.0,1,0,2,2,2
169,8,1707,2,511,1686,1707,2,6,1981,1981,1981.0,653.0,1,4,2,3,2
170,5,1382,2,660,720,854,1,7,1941,1950,1991.0,0.0,0,4,3,3,3
171,6,1656,2,528,1080,1656,1,7,1960,1960,1960.0,112.0,2,1,3,3,3
172,7,1767,2,504,1064,1064,2,5,1987,1987,1987.0,0.0,1,2,2,2,2
173,6,1362,2,504,1362,1362,1,6,1961,1961,1961.0,491.0,1,4,3,3,3
174,6,1651,2,616,1606,1651,2,7,1986,1986,1986.0,132.0,1,4,2,3,3
175,6,2158,2,576,1202,2158,2,7,1950,2001,1950.0,0.0,1,4,3,2,3
176,6,2060,2,521,1151,1164,2,8,1988,1989,1988.0,268.0,1,4,2,3,2
177,5,1920,2,451,1052,1252,2,8,1958,1958,1958.0,0.0,1,0,3,2,2
178,9,2234,3,1166,2216,2234,2,9,2008,2009,2009.0,748.0,1,0,0,0,0
179,5,968,2,480,968,968,1,5,1923,2006,1935.0,0.0,0,4,3,3,2
180,6,1525,2,440,756,769,2,5,2000,2000,2000.0,456.0,1,0,2,2,2
181,7,1802,1,216,793,901,1,9,1920,1950,1920.0,0.0,1,2,1,3,3
182,5,1340,1,252,0,1340,1,7,1957,2006,1957.0,98.0,1,0,-1,3,3
183,7,2082,2,484,1362,1362,2,6,2003,2003,2003.0,0.0,0,0,2,2,3
184,5,1252,2,576,504,936,1,5,1908,1991,1986.0,0.0,0,2,1,3,3
185,10,3608,3,840,1107,1518,2,12,1892,1993,1993.0,0.0,2,0,3,0,2
186,7,1217,2,497,1188,1217,2,6,1990,1991,1990.0,0.0,0,0,2,2,3
187,5,1656,1,180,660,808,2,8,1916,1987,1916.0,0.0,0,0,1,3,3
188,5,1224,2,528,1086,1224,0,6,1979,1979,1979.0,275.0,2,4,2,3,3
189,8,1593,2,682,1593,1593,1,5,2001,2002,2001.0,0.0,1,0,0,0,2
190,8,2727,2,440,853,1549,2,10,1932,1994,1932.0,0.0,2,4,2,2,2
191,7,1479,2,484,725,725,1,7,1972,2004,1972.0,138.0,0,2,3,2,3
192,7,1431,2,666,1431,1431,2,6,1999,1999,1999.0,0.0,0,0,2,2,2
193,7,1709,2,380,970,970,2,7,2004,2004,2004.0,50.0,0,0,2,2,2
194,5,864,1,352,864,864,1,5,1972,1972,1989.0,0.0,0,4,3,3,3
195,6,1456,2,440,855,855,2,7,1976,1976,1976.0,0.0,1,4,2,3,3
196,7,1726,3,786,1726,1726,2,8,2007,2007,2007.0,205.0,1,0,0,0,0
197,8,3112,2,795,1360,1360,2,8,1918,1990,1918.0,0.0,1,2,3,2,2
198,6,2229,0,0,755,929,1,8,1912,1950,,0.0,0,0,3,3,3
199,8,1713,3,856,1713,1713,2,7,2004,2005,2004.0,262.0,1,0,0,0,2
200,4,1121,2,440,1121,1121,2,5,2003,2004,2003.0,0.0,0,0,2,3,3
201,6,1279,2,473,1196,1279,2,6,1977,1977,1980.0,0.0,2,4,3,3,3
202,6,1310,1,398,617,865,2,6,1924,1950,1924.0,0.0,0,2,1,3,3
203,6,848,2,420,848,848,1,3,2004,2004,2004.0,205.0,1,0,2,2,2
204,5,1284,1,240,720,720,1,5,1947,1950,1948.0,0.0,0,4,3,3,3
205,7,1442,2,500,1424,1442,2,5,1990,1990,1990.0,0.0,0,0,2,3,3
206,5,1696,1,349,1140,1696,1,8,1962,1962,1962.0,0.0,1,4,3,3,3
207,4,1100,1,312,1100,1100,1,6,1960,1960,1960.0,0.0,1,4,3,3,3
208,7,2062,2,454,1157,1180,2,7,1988,1989,1988.0,128.0,1,0,2,3,2
209,6,1092,2,504,1092,1092,1,6,1964,1964,1964.0,260.0,0,0,2,3,3
210,5,864,0,0,864,864,1,5,1925,1950,,0.0,0,4,3,3,3
211,6,1212,2,460,1212,1212,2,6,2009,2009,2009.0,0.0,0,0,2,2,3
212,7,1852,2,644,900,932,2,7,2009,2009,2009.0,0.0,1,0,2,2,3
213,5,990,2,576,990,990,1,5,1995,1995,1996.0,0.0,0,0,2,3,3
214,6,1392,1,299,689,689,1,6,1977,1977,1977.0,153.0,0,0,2,3,3
215,5,1236,1,447,1070,1236,1,6,1957,1996,1957.0,64.0,1,4,3,2,3
216,7,1436,2,484,1436,1436,2,8,2004,2004,2004.0,266.0,0,0,2,2,2
217,4,1328,1,210,686,810,1,8,1925,1950,1940.0,0.0,0,1,3,3,3
218,7,1954,2,431,798,1137,1,8,1939,2006,1939.0,312.0,2,0,3,2,2
219,7,1248,2,438,1248,1248,2,5,2005,2006,2005.0,16.0,0,0,2,2,2
220,7,1498,2,675,1498,1498,2,5,2006,2006,2006.0,0.0,0,0,2,2,2
221,6,2267,2,390,1010,1010,2,8,2002,2002,2002.0,0.0,1,0,2,2,2
222,6,1552,2,434,713,811,2,6,1975,1975,1975.0,0.0,1,4,2,3,3
223,4,864,2,576,864,864,1,4,1971,1971,1989.0,0.0,0,2,3,3,3
224,10,2392,3,968,2392,2392,2,8,2003,2003,2003.0,922.0,1,0,0,0,0
225,5,1302,1,280,630,630,2,6,1971,1971,1991.0,142.0,0,4,3,3,3
226,7,2520,3,721,1203,1214,2,9,1995,1995,1995.0,290.0,1,0,2,2,2
227,6,987,1,280,483,483,1,5,1970,1970,1987.0,127.0,0,4,3,3,3
228,5,912,1,336,912,912,1,5,1967,1967,1974.0,0.0,1,4,3,3,3
229,7,1555,2,430,1373,1555,2,7,2005,2006,2005.0,16.0,1,0,2,2,2
230,6,1194,1,312,1194,1194,1,6,1959,1959,1959.0,220.0,0,4,3,3,3
231,8,2794,3,810,1462,1490,2,9,1995,1996,1995.0,506.0,1,0,2,0,2
232,6,987,1,288,483,483,1,5,1972,1972,1972.0,297.0,1,4,3,3,3
233,5,894,1,308,894,894,1,5,1976,1976,1976.0,0.0,0,4,3,3,3
234,6,1960,2,440,860,860,2,8,2002,2002,2002.0,,2,0,2,2,2
235,6,987,1,264,483,483,1,5,1971,1971,1971.0,604.0,0,4,3,3,3
236,7,1414,2,494,1414,1414,2,6,2004,2004,2004.0,98.0,0,0,2,2,2
237,7,1744,2,457,996,1014,2,7,1993,2003,1993.0,0.0,0,0,2,2,2
238,8,1694,3,818,1694,1694,2,7,2007,2007,2007.0,254.0,0,0,0,2,0
239,6,1487,1,220,735,798,1,7,1945,1950,1949.0,0.0,1,4,3,3,3
240,8,1566,2,750,1566,1566,2,7,2008,2008,2008.0,36.0,0,0,2,2,2
241,5,866,0,0,686,866,1,4,1945,1997,,0.0,0,2,3,2,3
242,5,1440,1,352,540,889,1,6,1900,1950,1940.0,0.0,0,2,3,3,3
243,6,1217,1,288,626,626,1,6,1980,1980,1980.0,0.0,1,4,2,3,3
244,7,2110,2,463,948,1222,2,8,1994,2002,1994.0,0.0,2,0,2,2,2
245,7,1872,2,604,1845,1872,2,6,1988,1988,1988.0,102.0,1,2,2,3,3
246,6,1928,1,440,1020,908,2,9,1910,1950,1910.0,0.0,0,2,1,1,3
247,6,1375,2,451,1367,1375,1,5,1954,1954,1954.0,0.0,1,0,3,3,3
248,7,1668,2,500,840,840,2,8,2003,2003,2003.0,101.0,0,0,2,2,2
249,6,2144,2,389,1444,1444,2,7,1958,2006,1958.0,472.0,2,2,2,2,2
250,3,1306,0,0,728,1306,1,6,1940,1966,,0.0,0,0,3,1,3
251,8,1625,2,538,1573,1625,2,5,2006,2007,2006.0,481.0,1,0,2,2,2
252,6,1640,2,520,798,798,2,6,2004,2004,2004.0,0.0,0,0,2,2,2
253,6,1302,1,309,1302,1302,2,7,1964,1991,1964.0,108.0,0,0,2,2,3
254,5,1314,1,294,1314,1314,1,5,1957,1957,1957.0,0.0,0,4,3,3,3
255,7,2291,2,429,975,1005,2,8,1999,1999,1999.0,302.0,1,0,2,2,2
256,6,1728,2,673,864,864,2,7,2003,2003,2003.0,0.0,0,0,2,2,2
257,7,1604,2,660,1604,1604,2,8,2006,2006,2006.0,180.0,1,0,2,2,2
258,7,1792,2,564,963,963,2,7,2001,2001,2001.0,172.0,1,0,2,2,2
259,5,882,1,308,0,882,1,4,1956,1956,1956.0,0.0,0,2,-1,3,3
260,6,1382,2,884,1362,1382,1,6,1962,1962,1991.0,399.0,1,4,3,3,3
261,8,2574,3,868,1482,1482,2,10,2007,2007,2007.0,270.0,1,0,0,0,2
262,6,1212,2,492,506,1212,1,6,1977,1995,1978.0,46.0,1,4,2,3,3
263,5,1316,2,484,926,926,1,6,1929,2001,1974.0,0.0,0,4,3,3,3
264,5,764,2,504,680,764,1,4,1925,2004,1965.0,0.0,0,2,1,3,3
265,6,1422,2,576,1422,1422,2,7,1981,1981,1981.0,210.0,1,4,2,2,3
266,6,1511,2,413,802,802,2,8,1997,1997,1997.0,0.0,1,2,2,3,3
267,5,2192,1,240,720,1052,2,8,1939,1997,1939.0,0.0,1,0,3,2,3
268,5,778,1,924,740,778,1,4,1940,1955,1966.0,0.0,1,0,3,3,3
269,6,1113,1,504,1143,1113,1,6,1976,1976,1987.0,174.0,1,4,3,3,3
270,8,1939,3,1053,1095,1095,2,8,2006,2006,2006.0,0.0,1,2,2,2,2
271,7,1363,2,439,1385,1363,1,5,1954,2005,1954.0,0.0,2,0,2,3,3
272,8,2270,3,671,1152,1164,2,9,1999,2007,1999.0,348.0,1,0,2,2,2
273,6,1632,1,338,1240,1632,2,6,1958,1988,1958.0,183.0,1,2,3,3,3
274,5,816,1,264,816,816,1,5,1982,1982,1982.0,0.0,0,4,3,3,3
275,7,1548,2,672,952,952,2,5,1925,2007,1978.0,0.0,0,2,3,0,2
276,7,1560,2,573,1560,1560,2,7,2003,2003,2003.0,0.0,0,0,0,2,2
277,4,864,2,400,864,864,1,4,1951,1951,1951.0,0.0,0,0,3,3,3
278,9,2121,3,732,2121,2121,2,8,2006,2007,2007.0,315.0,1,0,0,0,0
279,7,2022,2,505,1160,1156,2,8,1977,1977,1977.0,299.0,1,0,2,3,3
280,7,1982,2,575,807,1175,2,7,1989,1989,1989.0,340.0,1,2,2,2,2
281,6,1262,2,572,1262,1262,2,5,2006,2006,2006.0,68.0,0,2,2,2,2
282,7,1314,2,626,1314,1314,2,6,2007,2008,2008.0,166.0,1,0,2,2,2
283,8,1468,3,898,1468,1468,2,6,2008,2009,2008.0,72.0,1,0,2,2,2
284,6,1575,2,529,1575,1575,2,5,1992,1992,1992.0,0.0,0,2,2,2,2
285,7,1250,2,528,625,625,2,5,2006,2007,2006.0,0.0,0,0,2,2,2
286,6,1734,2,440,912,1085,1,7,1962,1981,1962.0,0.0,1,4,3,2,3
287,4,858,0,0,858,858,1,5,1971,1971,,0.0,0,4,3,3,3
288,5,900,1,280,882,900,1,5,1967,1967,1970.0,31.0,0,4,3,3,3
289,6,1396,1,384,698,698,1,7,1915,2003,2003.0,0.0,0,0,3,3,3
290,8,1919,2,685,1079,1079,2,8,2006,2006,2006.0,0.0,1,0,2,2,2
291,5,1716,0,0,780,936,2,9,1912,2000,,0.0,0,0,3,1,3
